"","GATA3","AR","MEK1","PDK1","Notch1","p90RSK_Caution"
"306",-0.558439,-0.230527,0.001959,0.882033,0.08025,0.151438
"307",-0.132234,1.69763,0,-0.021582,-0.267571,0.046643
"308",-0.19461,-0.32003,0.00832,0.006291,-0.105725,-0.760776
"309",0.638975,0.157656,1.087973,-0.12342,-0.009406,-0.282031
"310",-0.40958,0.079865,-0.169555,-0.033932,0.346544,-0.132121
"311",-0.254564,-0.003792,0.164704,-0.09107,0.804303,0.220721
"312",-0.590282,-0.156289,0.129537,0.098957,-0.166798,-0.147853
"313",0.505543,0.730215,-0.136192,-0.351838,-0.08096,-0.439365
"314",-0.376853,0.651439,-2.143569,-0.189223,-0.409565,-0.08484
"315",0.654173,-0.115696,-0.863936,-0.068771,-0.867094,0.096695
"316",-0.077083,0.445766,0.032453,-0.24533,0.004171,-0.320816
"317",3.81135,3.573788,0.123505,0.152399,0.076655,-1.150862
"318",0.200728,-0.180593,0.240363,0.180306,-0.057751,0.423064
"319",-0.659951,-0.27852,-0.849216,-0.325616,0.35705,0.563217
"320",3.465663,2.392176,-0.494289,-0.022221,0.72517,-0.341783
"321",-0.720349,-0.487138,-0.034758,0.023484,0.080822,-0.413475
"322",0.589413,-0.188134,0.487472,-0.073695,0.546001,0.592606
"323",0.279421,0.492375,0.417398,-0.113705,-0.338441,0.296988
"324",-0.395497,-0.122515,-0.237355,-0.55102,0.148797,-0.022729
"325",-0.654179,-0.314754,0.02256,-0.08406,0.145132,0.025888
"326",-0.776712,1.262135,-0.118475,0.056489,0.51847,0.422157
"327",-0.509548,-0.00922,-0.317646,0.552807,-0.317158,-0.251006
"328",-0.673324,1.355938,-0.11064,0.012865,0.641047,-0.593841
"329",-0.439636,-0.118999,-0.276795,-0.240375,-0.456766,-0.268728
"330",-0.190442,1.247167,0.180531,0.00042,-0.085358,-0.4288
"331",0.221751,0.65055,-0.454932,-0.311283,0.752961,0.089299
"332",-0.331722,-0.176608,0.046173,0.068246,0.314385,-0.332448
"333",0.571634,0.187569,0.208563,-0.368301,-0.542389,0.64225
"334",-0.269401,-0.310756,-0.033276,0.242628,-1.09229,0.292496
"335",-0.212158,-0.079082,0.42702,0.062028,-0.131708,0.165016
"336",1.551532,-0.007492,-0.146179,0.274812,0.318823,0.233095
"337",2.894669,-0.496196,-0.630592,-0.093208,-1.244667,-0.407614
"338",0.490436,-0.330014,0.088226,-0.282743,0.392936,-1.236879
"339",0.794501,-0.048559,-0.111061,0.225729,-0.694348,0.371026
"340",-0.102996,0.033774,-0.224643,-0.28037,0.093392,-0.320778
"341",0.729411,-0.099834,-0.288006,-0.174383,-0.08683,-0.053046
"342",0.015223,0.027822,-0.162231,0.080881,-0.097272,-0.388733
"343",0.121716,-0.196448,0.366751,-0.098817,0.040474,0.577289
"344",0.3279,0.048302,0.129001,-0.476799,-0.61241,0.078924
"345",1.661181,0.166136,-2.585899,-0.32193,0.704966,-0.19194
"346",-0.425617,-0.053388,-0.07096,-0.317895,-0.194973,0.121409
"347",-0.356007,-0.22852,0.188995,0.112638,1.252945,-0.339755
"348",-0.692483,-0.007101,0.936847,0.339188,0.393688,0.620433
"349",-0.655797,0.802799,-0.024523,-0.032983,-0.198225,-0.211317
"350",-0.345441,0.039585,0.203166,0.321827,0.180514,0.584142
"351",-0.347413,-0.202887,-0.246316,-0.228739,1.086614,-0.00058
"352",-0.889172,-0.176681,-0.08953,0.16322,0.46093,0.777539
"353",3.152968,1.752053,-0.257852,0.075835,0.809825,-0.792939
"354",0.314885,0.230566,-0.278225,0.060693,0.518705,0.898807
"355",-0.27793,-0.17107,-0.24639,0.723035,-0.153628,0.299049
"356",0.783526,-0.178467,-0.140412,0.236136,0.279222,-0.261979
"357",2.758006,-0.083644,0.054253,-0.445989,-0.514538,0.068247
"358",4.486492,1.926844,-0.439088,-0.015671,-0.470806,0.523055
"359",0.564469,0.029032,0.344296,-0.088658,-0.240188,-0.710419
"360",1.445171,-0.336512,0.291285,-0.366371,0.159984,0.792816
"361",0.725367,0.310741,0.37039,-0.146692,-0.876886,0.653048
"362",0.107084,-0.304821,-0.348262,-0.4096,-0.066373,0.066276
"363",-0.265766,-0.076355,0.894058,-0.293376,-0.809842,0.632376
"364",0.316938,0.084567,-0.23741,-0.189683,-0.212693,-0.079149
"365",-0.038742,0.09271,-0.38411,-0.166244,-0.086678,0.064594
"366",-0.501507,0.004873,-0.649391,-0.367115,0.323592,-0.010745
"367",0.27909,-0.150118,-0.039391,0.568027,-0.59154,-0.05112
"368",2.777272,-0.245955,-0.168849,0.042179,0.787769,0.173789
"369",0.190423,-0.337733,0.405995,-0.111969,0.455014,0.079377
"370",-0.637538,0.771114,0.650386,-0.433033,-0.623961,-0.528235
"371",0.167538,1.393601,0.26992,-0.0829,0.213866,-0.45577
"372",0.294004,0.053966,0.049904,0.067124,0.778444,0.452043
"373",-0.587101,-0.153779,-0.028904,-0.116507,-0.085833,0.108402
"374",-0.642576,-0.095271,-0.148886,0.08742,0.662598,-0.33633
"375",-0.502802,-0.265682,0.495916,0.299843,0.238749,0.885327
"376",-0.345171,-0.13866,-0.07096,-0.094897,0.899748,0.418148
"377",-1.288152,-0.387384,0.552879,-0.451965,-0.280681,-0.218456
"378",0.177929,0.776112,0.117947,0.248967,-0.743293,-0.110303
"379",-0.519788,0.019694,0.018789,-0.023032,0.013784,-0.010436
"380",-0.065292,-0.481569,-0.018143,-0.209853,-0.198097,0.343484
"381",0.335123,0.086022,0.071399,0.090467,-0.429383,0.529766
"382",2.973956,-0.338941,-0.199223,0.082583,-0.053048,0.024487
